연도,연령대,행정동,인구수
2018,11-15세,구미1동,860
2018,11-15세,구미동,1469
2018,11-15세,금곡동,1222
2018,11-15세,분당동,1491
2018,11-15세,수내1동,1102
2018,11-15세,수내2동,1044
2018,11-15세,수내3동,1347
2018,11-15세,정자1동,1557
2018,11-15세,정자2동,710
2018,11-15세,정자3동,862
2018,11-15세,정자동,963
2018,16-20세,구미1동,1250
2018,16-20세,구미동,1948
2018,16-20세,금곡동,1672
2018,16-20세,분당동,1885
2018,16-20세,수내1동,1353
2018,16-20세,수내2동,967
2018,16-20세,수내3동,1229
2018,16-20세,정자1동,2039
2018,16-20세,정자2동,1084
2018,16-20세,정자3동,1235
2018,16-20세,정자동,1279
2018,21-25세,구미1동,1439
2018,21-25세,구미동,2288
2018,21-25세,금곡동,2125
2018,21-25세,분당동,1972
2018,21-25세,수내1동,1219
2018,21-25세,수내2동,565
2018,21-25세,수내3동,998
2018,21-25세,정자1동,2244
2018,21-25세,정자2동,971
2018,21-25세,정자3동,1105
2018,21-25세,정자동,1471
2018,26-30세,구미1동,1531
2018,26-30세,구미동,2437
2018,26-30세,금곡동,2378
2018,26-30세,분당동,2166
2018,26-30세,수내1동,1195
2018,26-30세,수내2동,412
2018,26-30세,수내3동,947
2018,26-30세,정자1동,2655
2018,26-30세,정자2동,1407
2018,26-30세,정자3동,1120
2018,26-30세,정자동,1924
2018,31-35세,구미1동,1418
2018,31-35세,구미동,2436
2018,31-35세,금곡동,2553
2018,31-35세,분당동,1872
2018,31-35세,수내1동,1236
2018,31-35세,수내2동,333
2018,31-35세,수내3동,806
2018,31-35세,정자1동,2648
2018,31-35세,정자2동,1857
2018,31-35세,정자3동,1180
2018,31-35세,정자동,2133
2018,36-40세,구미1동,1476
2018,36-40세,구미동,2559
2018,36-40세,금곡동,2432
2018,36-40세,분당동,2081
2018,36-40세,수내1동,1476
2018,36-40세,수내2동,770
2018,36-40세,수내3동,1053
2018,36-40세,정자1동,2742
2018,36-40세,정자2동,1430
2018,36-40세,정자3동,1334
2018,36-40세,정자동,1808
2018,41-45세,구미1동,1563
2018,41-45세,구미동,2694
2018,41-45세,금곡동,2292
